script,model,district,loglik,loglik.se,etime,gamma,eps,m,beta.trend,log.beta1,log.beta2,log.beta3,log.beta4,log.beta5,log.beta6,log.omega1,log.omega2,log.omega3,log.omega4,log.omega5,log.omega6,sigma,tau,rho,delta,clin,alpha,S.0,I.0,R1.0,R2.0,R3.0,Y.0
mif2h,king2008,Dacca,-3905.47581539758,2.03127292598325,0.0999703292051951,4.85464681157501,25.3979896003935,0.117711268923282,-0.0115379146414348,-0.0942909290008183,6.1676846124636,-7.45476190376233,2.70987212916875,2.43798372832483,3.84658027550837,-2.51255091391815,-4.07293700484987,-8.26039059537929,-3.15792062163001,-9.29352384508474,-4.34373000245824,3.71359881054443,0.189088956148004,0,0.02,1,1,0.345186862207615,0.375269991322408,0.145813583444181,0.124939895711678,0.00878966731411784,0
mif2h,king2008,Dacca,-3955.7887612011,3.1635979545646,0.119229914214876,16.0664893671635,43.7697028360597,0.0341871190324342,-0.0140208117034018,1.59031285876002,5.74701074711114,-1.77617701819823,4.14354442581494,3.36316033530696,4.21369567854959,-3.72369139412693,-6.30523628232625,-10.0969154244781,-4.52955907054221,-11.1812133293106,-6.93374226872017,2.63031817314781,0.282172191258807,0,0.02,1,1,0.264734965250696,0.37678205849805,0.0699815412009527,0.264591377411993,0.0239100576383086,0
mif2h,king2008,Dacca,-3815.47905054064,2.30103260315089,0.0949415587716632,16.7787106923943,4.55793278718894,0.0989260251652069,-0.00926451054378382,0.603125254892498,6.82943972920374,-5.74162844023768,4.63463865721403,3.04075226392862,4.59834613433806,-4.55563697882985,-3.33130625907502,-2.89091679109382,-8.33497541208421,-12.7282712126883,-2.33373669498813,2.87349051376905,0.236005843980442,0,0.02,1,1,0.19475620629214,0.278931532385381,0.0691810644454414,0.35448182516772,0.102649371709318,0
mif2h,king2008,Dacca,-3865.6545444575,0.721061611591039,0.102528648111555,23.2798651853658,19.9426091490794,0.0466084239070239,-0.0098178240523013691,2.575135925548,4.82569345716445,0.875061120949598,4.09436008908627,3.57348364512824,4.24232678271857,-4.56630351541487,-2.77932844555199,-8.39396943545095,-14.7603164298398,-6.39023512890228,-2.13069775641407,3.3124340048697,0.234525998984915,0,0.02,1,1,0.254992211272764,0.181366873680823,0.00550458313835833,0.390615043549621,0.167521288358433,0
mif2h,king2008,Dacca,-4043.61015766056,4.09442504881404,0.104750892519951,0.0797019953108151,24.1956150881707,0.0959493300924458,-0.0105415333231489,1.12038871581757,4.87543936920021,-5.36259541966866,0.0804335518026823,-2.37054502470301,2.67296632130922,-2.94081474461525,-7.30722178581468,-3.86972556110204,-5.70003259802577,-3.98362558492519,-3.65159486287965,4.72492866389832,0.217635173379876,0,0.02,1,1,0.509060456889997,0.302069012656554,0.0399625538132952,0.0433310366130344,0.105576940027119,0
mif2h,king2008,Dacca,-3851.8506765341,2.44221969260998,0.103412562145127,19.2127478861549,26.9151064051818,0.0353681608840585,-4.15646872948744e-4,0.220512236619345,6.88662673084195,-5.42058291170856,4.14213170654672,2.99600915234229,4.76289829018677,-9.75270903063459,-8.32067044229554,-4.99890359645086,-1.15971023555427,-14.0715968956063,-6.49007924530347,3.04087309256819,0.25274650486323,0,0.02,1,1,0.35701075759646,0.284781358268908,0.0887152875364246,0.202496629260739,0.0669959673374676,0
mif2h,king2008,Dacca,-3870.18477170286,4.44709743761591,0.109005527032746,11.0480038650444,26.1501806327619,0.234946923094468,-0.0117283361481978,0.414545015036154,6.3644604270724,-4.91335511383766,4.0766365401762,3.06656851094143,4.33832864689699,-3.85288304815702,-4.46195468425227,-7.62021323504962,-7.24512617593891,-8.94216964887097,-5.77784926681726,3.27196856653871,0.141471566445152,0,0.02,1,1,0.528866554046694,0.131659374141301,0.0480324722666963,0.241992254743729,0.0494493448015799,0
mif2h,king2008,Dacca,-3819.91570349479,6.51852772533268,0.103175976938672,30.4080102192941,136.87430359283,0.0298122173759697,-0.0044784191282074,2.07098516945663,5.71746974290538,-0.264036409908953,3.97659267644015,3.84326654599203,4.29906356582014,-0.78516343855167,-2.93516331277131,-0.401686896644882,-5.41337711579663,-5.42892428533739,-5.41928014933502,3.2022871463461,0.202092667429405,0,0.02,1,1,0.311724369751705,0.35566811393489,0.116532780970234,0.143029725889182,0.0730450094539896,0
mif2h,king2008,Dacca,-3811.5010096351202,2.05149139775184,0.103839661611451,22.2203204371537,90.7862210917626,0.0464082709511739,-0.00301545064424766,1.69969631620232,5.62659018612732,-1.33612267087579,4.38244646009227,3.07192943429346,4.38590741251271,-9.28127192071873,-6.87510591853376,-0.700855422567881,-7.55094857942538,-6.60897537684982,-5.35424468878941,2.82751318002425,0.25249334201326,0,0.02,1,1,0.0885082229747279,0.460967351680304,0.196461009006715,0.131053978427011,0.123009437911242,0
mif2h,king2008,Dacca,-3856.87962186277,3.96124601221916,0.10239039990637,17.3876559735341,32.7094367414296,0.0452796231568384,-0.0104963532978686,1.32624265638349,6.20360331236837,-4.01960896740714,3.15738359991279,3.50286015220914,4.30508155988749,-5.7837215516296,-11.634847205723,-5.7955865647114,-3.4002872866674,-4.48116122465484,-12.280666928093,2.65794860450901,0.234542205190647,0,0.02,1,1,0.251124278456295,0.502047674845919,0.0423745553055772,0.184321519997834,0.020131971394375,0
mif2h,king2008,Dacca,-3925.16657060035,9.61840130511254,0.103641562329398,18.312391488128,7.05156868097709,0.0587024640263403,-0.0139131587499698,0.523816901196337,4.7211416080733,-0.870618918239553,3.54826062066849,3.55035750292862,4.49862549544382,-2.03787618490209,1.68602598926338,-5.35436807500716,-10.172567518071,-6.12873678555076,-7.31411681573926,2.62347054348961,0.285969836418013,0,0.02,1,1,0.384441948541352,0.245912267781719,0.0837927291536186,0.273372423566527,0.0124806309567826,0
